Industry,Company,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Media,SINCLAIR BROADCAST GP  -CL A,0.656,0.55,0.534,0.56,0.672,0.676,0.665,0.635,0.622,0.604,0.757,0.855,0.816,0.767,0.833,0.732
Media,SIRIUS XM HOLDINGS INC,0.348,0.5,0.357,0.396,0.5,0.12,0.335,0.52,0.644,0.776,0.434,0.424,0.436,0.402,0.269,0.407
Media,SIZMEK INC,0.381,0.244,0.154,0.071,0.103,0.061,0.171,0.215,0.113,0.177,0.365,0.214,0,0.457,0.542,0
Media,SPANISH BROADCASTING SYS INC,0.487,0.472,0.48,0.468,0.517,0.539,0.45,0.418,0.361,0.364,0.685,0.693,0.659,0.633,0.597,0.601
Media,SPAR GROUP INC,0.077,0.302,0.206,0.324,0.138,0.147,0.313,0.193,0.294,0.307,0.28,0.286,0.276,0.185,0.091,0.161
Media,STARZ,0.142,0.056,0.117,0.149,0.125,0.178,0.171,0.185,0.095,0.171,0.366,0.373,0.249,0.168,0.248,0.731
Media,TECHNICOLOR  -ADR,0.214,0.073,0.157,0.116,0.174,0.229,0.303,0.262,0.329,0.269,0.516,0.635,0.337,0.388,0.344,0.345
Media,THOMSON-REUTERS CORP,0.21,0.188,0.182,0.258,0.222,0.228,0.22,0.22,0.212,0.213,0.209,0.22,0.212,0.234,0.222,0.249
Media,TIME WARNER INC,0.168,0.065,0.153,0.11,0.238,0.224,0.194,0.166,0.268,0.28,0.351,0.235,0.249,0.288,0.291,0.297
Media,TIX CORP,0.335,0.433,0.5,0.657,0.976,1.224,2.099,1.583,0.074,0.003,0.004,0.003,0,0.09,0.059,0.551
Media,TWENTY-FIRST CENTURY FOX INC,0.296,0.295,0.281,0.264,0.24,0.214,0.197,0.201,0.202,0.201,0.217,0.269,0.245,0.25,0.273,0.323
Media,UNIVISION COMMUNICATIONS INC,0.476,0.359,0.412,0.554,0.423,0.18,0.15,0.189,0.143,0.609,0.943,0.975,0.892,0.906,0.897,0.91
Media,UTD ARTISTS THEATRE CIRCUIT,0.663,0.836,0.014,0.617,0.636,0.033,0.031,0.015,0.014,0.016,0.015,0.014,0.013,0.011,0.01,0.006
Media,WILEY (JOHN) and SONS  -CL A,0.236,0.22,0.162,0.296,0.246,0.197,0.19,0.156,0.395,0.325,0.37,0.28,0.187,0.188,0.24,0.227
Media,WOLTERS KLUWER NV  -ADR,0.489,0.434,0.413,0.469,0.477,0.5,0.51,0.404,0.385,0.37,0.407,0.399,0.384,0.374,0.368,0.417
Media,WORLD WRESTLING ENTMT INC,0.098,0.034,0.024,0.02,0.023,0.019,0.018,0.015,0.015,0.012,0.011,0.009,0.007,0.004,0,0.078
Media,WPP PLC  -ADR,0.118,0.161,0.12,0.156,0.161,0.162,0.169,0.133,0.169,0.193,0.231,0.193,0.158,0.179,0.192,0.178
Retailing,1-800-FLOWERS.COM,0.315,0.187,0.05,0.079,0.074,0.057,0.035,0.024,0.255,0.222,0.183,0.325,0.236,0.178,0.11,0
Retailing,ADVANCE AUTO PARTS INC,0,0.49,0.443,0.508,0.375,0.24,0.248,0.239,0.238,0.246,0.207,0.077,0.099,0.114,0.131,0.189
Retailing,AMAZON.COM INC,0.538,0.599,1.004,1.326,1.135,0.892,0.569,0.412,0.302,0.214,0.08,0.028,0.046,0.077,0.152,0.172
Retailing,AMCON DISTRIBUTING CO,0.559,0.62,0.595,0.674,0.589,0.6,0.613,0.66,0.595,0.506,0.456,0.333,0.271,0.264,0.195,0.187
Retailing,APPLIANCE RECYCLING CTR AMER,0.693,0.615,0.562,0.496,0.454,0.506,0.455,0.458,0.5,0.544,0.534,0.488,0.428,0.404,0.427,0.361
Retailing,AUTONATION INC,0.458,0.321,0.371,0.317,0.344,0.412,0.383,0.347,0.446,0.467,0.53,0.462,0.538,0.572,0.644,0.615
Retailing,AUTOZONE INC,0.198,0.27,0.375,0.357,0.343,0.42,0.478,0.439,0.41,0.414,0.44,0.523,0.538,0.586,0.618,0.628
Retailing,BELK INC,0.256,0.254,0.266,0.244,0.211,0.178,0.161,0.242,0.258,0.253,0.273,0.267,0.226,0.208,0.161,0.154
Retailing,BEST BUY CO INC,0.024,0.01,0.061,0.111,0.108,0.098,0.058,0.05,0.048,0.064,0.124,0.098,0.096,0.138,0.137,0.118
Retailing,BIG 5 SPORTING GOODS CORP,0,0,0.68,0.607,0.485,0.366,0.262,0.289,0.225,0.266,0.261,0.162,0.132,0.173,0.128,0.105
Retailing,BIG LOTS INC,0.145,0.092,0.169,0.133,0.124,0.114,0.092,0.003,0,0.115,0.048,0.002,0.001,0.042,0.099,0.045
Retailing,BON-TON STORES INC,0.204,0.261,0.246,0.177,0.172,0.285,0.278,0.079,0.561,0.559,0.636,0.598,0.562,0.546,0.551,0.548
Retailing,BOOKS-A-MILLION INC,0.136,0.127,0.144,0.133,0.147,0.07,0.025,0.023,0.023,0.123,0.08,0.023,0.021,0.018,0.024,0.126
Retailing,BOWLIN TRAVEL CENTERS INC,0,0,0,0.283,0.247,0.238,0.301,0.268,0.246,0.237,0.238,0.236,0.273,0.273,0.275,0.267
Retailing,BROWN SHOE CO INC,0.301,0.265,0.309,0.309,0.216,0.166,0.168,0.195,0.137,0.15,0.256,0.235,0.303,0.326,0.259,0.179
Retailing,BURLINGTON COAT FACTORY INVS,0.065,0.051,0.008,0.018,0.027,0.085,0.08,0.474,0.482,0.501,0.572,0.59,0.558,0.645,0.539,0.498
Retailing,CALLOWAY'S NURSERY INC,0.23,0.381,0.338,0.371,0.363,0.398,0.555,0.613,0.467,0.514,0.555,0.573,0.549,0.507,0.479,0.435
Retailing,CARMAX INC,0.255,0.317,0.27,0.123,0.17,0.101,0.15,0.131,0.098,0.141,0.142,0.059,0.591,0.606,0.628,0.648
Retailing,COAST DISTRIBUTION SYSTEMS,0.387,0.407,0.421,0.362,0.406,0.384,0.349,0.313,0.352,0.358,0.328,0.214,0.212,0.228,0.22,0.201
Retailing,DESTINATION MATERNITY CORP,0.717,0.749,0.729,0.709,0.55,0.519,0.471,0.471,0.411,0.338,0.307,0.293,0.22,0.158,0.076,0
Retailing,DESTINATION XL GROUP INC,0.139,0.234,0.256,0.305,0.41,0.476,0.536,0.5,0.029,0.179,0.254,0.061,0,0,0,0.108
Retailing,DILLARDS INC  -CL A,0.456,0.45,0.436,0.393,0.432,0.409,0.288,0.271,0.238,0.259,0.255,0.211,0.219,0.21,0.204,0.203
Retailing,DOLLAR GENERAL CORP,0.001,0.002,0.32,0.288,0.149,0.106,0.096,0.093,0.089,0.495,0.465,0.384,0.344,0.27,0.267,0.259
Retailing,DOLLAR TREE INC,0.124,0.144,0.096,0.069,0.049,0.125,0.157,0.15,0.143,0.15,0.131,0.117,0.113,0.114,0.099,0.278
Retailing,FOOT LOCKER INC,0.267,0.194,0.14,0.174,0.144,0.125,0.113,0.098,0.072,0.068,0.049,0.049,0.047,0.044,0.04,0.04
Retailing,FREDS INC,0.108,0.177,0.135,0.009,0.01,0.019,0.054,0.016,0.006,0.065,0.009,0.009,0.007,0.012,0.021,0.008
Retailing,GAP INC,0.148,0.184,0.258,0.261,0.343,0.268,0.188,0.058,0.06,0.024,0.007,0,0,0.224,0.167,0.178
Retailing,GENUINE PARTS CO,0.207,0.213,0.223,0.212,0.197,0.165,0.112,0.105,0.111,0.105,0.104,0.1,0.091,0.085,0.073,0.1
Retailing,GROUP 1 AUTOMOTIVE INC,0.501,0.567,0.617,0.438,0.517,0.487,0.56,0.481,0.546,0.61,0.622,0.505,0.513,0.51,0.547,0.559
Retailing,GUESS INC,0.375,0.246,0.28,0.242,0.234,0.188,0.129,0.139,0.063,0.046,0.031,0.011,0.009,0.007,0.006,0.007
Retailing,HANCOCK FABRICS INC,0.151,0.159,0.083,0,0,0.04,0.119,0.228,0.308,0.156,0.281,0.203,0.227,0.358,0.48,0.525
Retailing,HASTINGS ENTERTAINMENT INC,0.202,0.219,0.139,0.145,0.197,0.126,0.173,0.111,0.168,0.16,0.179,0.162,0.141,0.242,0.212,0.256
Retailing,HAVERTY FURNITURE,0.453,0.384,0.413,0.364,0.204,0.182,0.141,0.105,0.107,0.068,0.021,0.02,0.025,0.034,0.048,0.041
Retailing,HOLLYWOOD MEDIA CORP,0.406,0.056,0.012,0.013,0.065,0.089,0.015,0.078,0.065,0.006,0.007,0.004,0.002,0.002,0.001,0.001
Retailing,HOME DEPOT INC,0.117,0.046,0.072,0.048,0.044,0.04,0.055,0.092,0.223,0.303,0.278,0.237,0.243,0.266,0.263,0.363
Retailing,KOHL'S CORP,0.161,0.203,0.214,0.226,0.224,0.163,0.139,0.126,0.117,0.196,0.183,0.157,0.271,0.301,0.327,0.338
Retailing,L BRANDS INC,0.143,0.159,0.098,0.085,0.075,0.082,0.27,0.264,0.236,0.392,0.416,0.38,0.389,0.579,0.744,0.691
Retailing,LITHIA MOTORS INC  -CL A,0.59,0.572,0.624,0.584,0.57,0.569,0.577,0.57,0.575,0.566,0.601,0.538,0.548,0.55,0.587,0.56
Retailing,LOWE'S COMPANIES INC,0.232,0.208,0.263,0.283,0.237,0.197,0.174,0.143,0.16,0.216,0.185,0.154,0.195,0.227,0.278,0.321
Retailing,MACY'S INC,0.266,0.332,0.358,0.324,0.302,0.279,0.261,0.307,0.288,0.351,0.438,0.408,0.36,0.351,0.33,0.332
Retailing,MARINEMAX INC,0.329,0.448,0.339,0.403,0.388,0.363,0.378,0.334,0.447,0.432,0.563,0.361,0.279,0.327,0.33,0.321
Retailing,MICHAELS STORES INC,0.246,0.211,0.109,0.142,0.128,0.111,0.095,0,2.338,2.393,2.418,2.224,2.072,1.915,1.956,1.607
Retailing,MONRO MUFFLER BRAKE INC,0.429,0.369,0.317,0.237,0.178,0.264,0.201,0.156,0.158,0.335,0.262,0.224,0.122,0.108,0.269,0.256
Retailing,NORDSTROM INC,0.304,0.286,0.331,0.353,0.329,0.27,0.224,0.19,0.131,0.446,0.444,0.397,0.373,0.43,0.387,0.363
Retailing,O'REILLY AUTOMOTIVE INC,0.373,0.18,0.195,0.213,0.189,0.103,0.07,0.059,0.056,0.044,0.175,0.165,0.071,0.145,0.191,0.23
Retailing,OFFICE DEPOT INC,0.115,0.134,0.179,0.147,0.09,0.137,0.088,0.101,0.094,0.112,0.167,0.148,0.16,0.161,0.164,0.212
Retailing,OUTERWALL INC,0.891,0.378,0.398,0.366,0.17,0.086,0.385,0.326,0.278,0.353,0.327,0.378,0.283,0.257,0.232,0.404
Retailing,PENNEY (J C) CO,0.402,0.325,0.289,0.339,0.293,0.294,0.279,0.278,0.272,0.259,0.292,0.27,0.238,0.272,0.305,0.475
Retailing,PENSKE AUTOMOTIVE GROUP INC,0.6,0.553,0.629,0.604,0.585,0.571,0.505,0.489,0.527,0.514,0.651,0.564,0.555,0.567,0.569,0.575
Retailing,PEP BOYS-MANNY MOE and JACK,0.365,0.378,0.426,0.369,0.349,0.295,0.275,0.322,0.305,0.254,0.228,0.205,0.19,0.181,0.125,0.126
Retailing,PETSMART INC,0.318,0.331,0.325,0.355,0.179,0.16,0.177,0.217,0.246,0.282,0.269,0.249,0.243,0.241,0.214,0.219
Retailing,PIER 1 IMPORTS INC/DE,0.147,0.096,0.034,0.03,0.026,0.018,0.018,0.157,0.201,0.224,0.281,0.055,0.013,0.012,0.011,0.012
Retailing,POOL CORP,0.206,0.143,0.163,0.244,0.314,0.192,0.196,0.266,0.343,0.431,0.394,0.335,0.273,0.31,0.296,0.299
Retailing,PRECISION AUTO CARE INC,0.28,0.375,0.446,0.825,1.161,0.086,0.007,0.002,0.003,0.002,0.006,0.011,0.003,0.041,0.076,0.066
Retailing,RADIOSHACK CORP,0.235,0.237,0.303,0.299,0.282,0.276,0.224,0.243,0.261,0.206,0.338,0.276,0.294,0.308,0.338,0.386
Retailing,RENT-A-CENTER INC,0.536,0.57,0.498,0.434,0.323,0.381,0.36,0.372,0.479,0.485,0.383,0.292,0.261,0.264,0.24,0.304
Retailing,SEARS HOLDINGS CORP,0.26,0.253,0.272,0.151,0.119,0.082,0.048,0.131,0.13,0.125,0.124,0.101,0.146,0.163,0.161,0.233
Retailing,SONIC AUTOMOTIVE INC  -CL A,0.654,0.632,0.655,0.613,0.63,0.63,0.594,0.563,0.533,0.557,0.694,0.647,0.63,0.605,0.651,0.656
Retailing,STAGE STORES INC,0.575,0.905,0.337,0.002,0.002,0.02,0.005,0.004,0.02,0.115,0.074,0.064,0.048,0.067,0.016,0.078
Retailing,STAPLES INC,0.075,0.133,0.157,0.087,0.185,0.116,0.079,0.069,0.062,0.041,0.265,0.187,0.187,0.152,0.162,0.099
Retailing,SYSTEMAX INC,0.011,0.021,0.09,0.006,0.088,0.088,0.07,0.069,0.023,0.007,0.003,0.02,0.011,0.011,0.008,0.006
Retailing,TANDY LEATHER FACTORY INC,0.387,0.339,0.293,0.232,0.215,0.094,0.04,0.01,0.004,0.108,0.11,0.086,0.086,0.073,0.063,0.046
Retailing,TARGET CORP,0.301,0.293,0.333,0.372,0.39,0.353,0.295,0.282,0.269,0.384,0.425,0.378,0.36,0.375,0.366,0.309
Retailing,TIFFANY and CO,0.276,0.201,0.199,0.166,0.182,0.204,0.165,0.17,0.182,0.155,0.228,0.216,0.184,0.171,0.207,0.211
Retailing,TJX COMPANIES INC,0.08,0.15,0.122,0.196,0.18,0.159,0.138,0.147,0.133,0.13,0.126,0.106,0.099,0.095,0.081,0.125
Retailing,TOYS R US INC,0.177,0.183,0.215,0.23,0.268,0.294,0.237,0.711,0.716,0.656,0.659,0.606,0.599,0.585,0.599,0.665
Retailing,TRACTOR SUPPLY CO,0.154,0.192,0.2,0.076,0.091,0.04,0.053,0.014,0.004,0.055,0.002,0.001,0.001,0.001,0.001,0.001
Retailing,TRANS WORLD ENTMT CORP,0.043,0.026,0.019,0.015,0.012,0.01,0.015,0.029,0.023,0.025,0.026,0.022,0.02,0.018,0.009,0.006
Retailing,TRUE VALUE CO,0.494,0.481,0.448,0.504,0.364,0.282,0.26,0.258,0.211,0.177,0.205,0.182,0.198,0.196,0.249,0.241
Retailing,VOXX INTERNATIONAL CORP,0.148,0.278,0.071,0.194,0.099,0.117,0.044,0.038,0.031,0.019,0.031,0.041,0.032,0.069,0.218,0.155
Retailing,WEYCO GROUP INC,0.103,0.092,0.057,0.077,0.259,0.185,0.073,0.054,0.058,0.003,0.007,0,0.022,0.135,0.158,0.045
Retailing,WILLIAMS-SONOMA INC,0.089,0.063,0.04,0.032,0.02,0.025,0.024,0.017,0.014,0.012,0.013,0.005,0.004,0.004,0.003,0.002
Retailing,ZALE CORP,0.332,0.296,0.08,0.078,0.059,0.142,0.147,0.094,0.139,0.141,0.229,0.252,0.255,0.332,0.388,0.346
Consumer Services,ALL AMERICAN SPORTPARK INC,0.569,0.62,3.027,4.486,4.351,4.128,4.456,4.76,5.531,5.546,5.063,4.067,5.498,5.324,6.371,6.829
Consumer Services,ARK RESTAURANTS CORP,0.125,0.165,0.441,0.445,0.33,0.174,0.006,0,0,0.017,0.013,0.009,0.006,0.001,0.039,0.065
Consumer Services,BALLY TECHNOLOGIES INC,0.889,0.894,0.982,0.895,0.744,0.657,0.571,0.512,0.477,0.405,0.306,0.237,0.19,0.556,0.527,0.617
Consumer Services,BIGLARI HOLDINGS INC,0.178,0.148,0.187,0.139,0.455,0.417,0.378,0.341,0.331,0.336,0.327,0.297,0.292,0.37,0.321,0.235
Consumer Services,BOYD GAMING CORP,0.678,0.681,0.646,0.653,0.642,0.587,0.589,0.578,0.548,0.505,0.575,0.588,0.607,0.614,0.808,0.764
Consumer Services,BRAZIL FAST FOOD CORP,0.234,0.257,0.251,0.279,0.171,0.192,0.197,0.025,0,0.081,0.243,0.222,0.125,0.15,0.148,0.132
Consumer Services,BRINKER INTL INC,0.164,0.182,0.108,0.172,0.249,0.191,0.298,0.189,0.226,0.357,0.412,0.374,0.292,0.353,0.428,0.556
Consumer Services,CARNIVAL CORP/PLC (USA),0.227,0.13,0.239,0.257,0.256,0.302,0.288,0.259,0.257,0.259,0.28,0.273,0.25,0.242,0.227,0.238
Consumer Services,CARRIAGE SERVICES INC,0.477,0.515,0.387,0.366,0.34,0.323,0.361,0.412,0.414,0.381,0.413,0.372,0.343,0.341,0.364,0.334
Consumer Services,CEC ENTERTAINMENT INC,0.112,0.182,0.136,0.113,0.116,0.13,0.147,0.229,0.258,0.447,0.554,0.492,0.499,0.518,0.514,0.484
Consumer Services,CEDAR FAIR  -LP,0.317,0.368,0.443,0.473,0.456,0.45,0.465,0.459,0.708,0.725,0.789,0.758,0.759,0.75,0.759,0.755
Consumer Services,CENTURY CASINOS INC,0.376,0.314,0.492,0.391,0.356,0.311,0.288,0.16,0.388,0.326,0.249,0.122,0.099,0.067,0.026,0.179
Consumer Services,CHOICE HOTELS INTL INC,0.701,0.661,0.614,0.876,0.979,0.923,1.253,1.034,0.569,0.829,0.866,0.817,0.612,0.564,1.675,1.47
Consumer Services,CORINTHIAN COLLEGES INC,0.604,0.048,0.024,0.023,0.01,0.043,0.108,0.099,0.07,0.175,0.11,0.036,0.226,0.276,0.14,0.135
Consumer Services,CRACKER BARREL OLD CTRY STOR,0.064,0.247,0.219,0.104,0.154,0.141,0.129,0.139,0.547,0.604,0.6,0.518,0.449,0.42,0.37,0.288
Consumer Services,DENNYS CORP,0.606,0.791,0.848,1.104,1.112,1.171,1.104,1.08,1.049,0.952,0.968,0.916,0.861,0.645,0.605,0.591
Consumer Services,DINEEQUITY INC,0.418,0.418,0.382,0.359,0.397,0.387,0.386,0.403,0.377,0.635,0.703,0.691,0.714,0.662,0.578,0.574
Consumer Services,DOVER MOTORSPORTS INC,0.008,0.145,0.114,0.314,0.248,0.242,0.185,0.235,0.269,0.277,0.298,0.309,0.312,0.292,0.206,0.168
Consumer Services,EINSTEIN NOAH RESTAURANT GRP,0.412,0.427,0.284,0.517,0.771,1.13,1.377,1.664,1.708,0.989,0.838,0.53,0.428,0.363,0.64,0.543
Consumer Services,EMPIRE RESORTS INC,0.207,0.253,0.292,0.559,0,0,1.07,1.266,1.199,1.34,1.479,0.727,0.723,0.35,0.332,0.446
Consumer Services,FAMOUS DAVES OF AMERICA INC,0.051,0.211,0.283,0.231,0.247,0.24,0.236,0.242,0.197,0.338,0.405,0.265,0.316,0.288,0.302,0.264
Consumer Services,FLANIGANS ENTERPRISES INC,0.15,0.077,0.145,0.155,0.112,0.085,0.066,0.075,0.189,0.2,0.2,0.203,0.216,0.229,0.287,0.273
Consumer Services,FULL HOUSE RESORTS INC,0.194,0.27,0.234,0.314,0.214,0.208,0.171,0.141,0.07,0.368,0.129,0.028,0,0.285,0.422,0.423
Consumer Services,GOOD TIMES RESTAURANTS INC,0.085,0.134,0.214,0.274,0.285,0.207,0.175,0.078,0.142,0.159,0.264,0.342,0.446,0.323,0.244,0.014
Consumer Services,GRAHAM HOLDINGS CO,0.166,0.296,0.288,0.262,0.185,0.162,0.112,0.093,0.076,0.082,0.107,0.077,0.077,0.113,0.136,0.078
Consumer Services,INTL GAME TECHNOLOGY,0.229,0.563,0.613,0.515,0.296,0.371,0.204,0.21,0.213,0.362,0.497,0.496,0.418,0.396,0.431,0.475
Consumer Services,INTL SPEEDWAY CORP  -CL A,0.007,0.312,0.286,0.242,0.273,0.236,0.233,0.205,0.192,0.19,0.264,0.182,0.163,0.163,0.143,0.136
Consumer Services,ISLE OF CAPRI CASINOS INC,0.788,0.738,0.751,0.753,0.73,0.714,0.688,0.666,0.683,0.764,0.73,0.717,0.688,0.733,0.745,0.827
Consumer Services,JACK IN THE BOX INC,0.433,0.366,0.314,0.274,0.235,0.258,0.238,0.223,0.192,0.313,0.346,0.292,0.26,0.327,0.288,0.281
Consumer Services,KRISPY KREME DOUGHNUTS INC,0.225,0.218,0.021,0.069,0.177,0.221,0.307,0.299,0.308,0.379,0.384,0.263,0.208,0.082,0.075,0.006
Consumer Services,LUBYS INC,0.215,0.225,0.316,0.36,0.363,0.352,0.228,0.066,0,0.013,0,0,0.171,0.094,0.056,0.077
Consumer Services,MARRIOTT INTL INC,0.208,0.231,0.25,0.314,0.216,0.178,0.153,0.204,0.223,0.332,0.348,0.29,0.315,0.367,0.463,0.471
Consumer Services,MATTHEWS INTL CORP  -CL A,0.012,0.096,0.079,0.158,0.243,0.144,0.135,0.223,0.208,0.22,0.278,0.265,0.239,0.289,0.283,0.308
Consumer Services,MAXXAM INC,0.493,0.456,0.44,0.489,0.915,0.926,0.949,0.956,1.056,0.417,0.529,0.644,0.472,0.514,0.559,0.564
Consumer Services,MCDONALD'S CORP,0.356,0.346,0.391,0.396,0.416,0.381,0.331,0.338,0.291,0.316,0.359,0.35,0.36,0.379,0.385,0.386
Consumer Services,MGM RESORTS INTERNATIONAL,0.312,0.484,0.548,0.521,0.497,0.516,0.492,0.597,0.587,0.492,0.579,0.624,0.636,0.485,0.517,0.515
Consumer Services,MONARCH CASINO and RESORT INC,0.55,0.68,0.641,0.598,0.513,0.407,0.274,0.069,0,0,0.274,0.261,0.159,0.137,0.327,0.22
Consumer Services,MTR GAMING GROUP INC,0.58,0.517,0.549,0.51,0.496,0.503,0.451,0.458,0.58,0.706,0.716,0.76,0.766,0.857,0.82,0.856
Consumer Services,MULTIMEDIA GAMES HOLDING CO,0.048,0.402,0.274,0,0.007,0.097,0.094,0.187,0.232,0.32,0.314,0.351,0.24,0.204,0.147,0.105
Consumer Services,NOBLE ROMANS INC,0.746,1.212,0.775,0.774,0.761,0.754,0.639,0.556,0.442,0.322,0.412,0.337,0.317,0.28,0.249,0.235
Consumer Services,ORIENT-EXPRESS HOTELS,0.468,0.478,0.39,0.442,0.484,0.489,0.495,0.435,0.409,0.428,0.442,0.395,0.341,0.329,0.327,0.34
Consumer Services,PAPA JOHNS INTERNATIONAL INC,0,0.017,0.371,0.272,0.383,0.176,0.252,0.157,0.256,0.355,0.338,0.249,0.238,0.132,0.201,0.34
Consumer Services,PENN NATIONAL GAMING INC,0.487,0.479,0.703,0.675,0.49,0.689,0.523,0.665,0.627,0.599,0.468,0.495,0.486,0.444,0.484,0.481
Consumer Services,PINNACLE ENTERTAINMENT INC,0.605,0.598,0.521,0.541,0.587,0.675,0.53,0.528,0.446,0.384,0.492,0.577,0.625,0.627,0.683,0.849
Consumer Services,POPEYES LOUISIANA KITCHEN,0.659,0.654,0.616,0.422,0.465,0.368,0.255,0.9,0.822,0.857,0.903,0.708,0.533,0.472,0.422,0.335
Consumer Services,RED LION HOTELS CORP,0.533,0.543,0.535,0.478,0.444,0.429,0.495,0.5,0.33,0.331,0.394,0.39,0.38,0.332,0.307,0.315
Consumer Services,REGIS CORP/MN,0.316,0.338,0.373,0.355,0.312,0.271,0.237,0.33,0.314,0.333,0.342,0.335,0.229,0.174,0.183,0.126
Consumer Services,RICKS CABARET INTL INC,0.453,0.369,0.288,0.257,0.37,0.329,0.294,0.533,0.455,0.306,0.245,0.261,0.288,0.232,0.33,0.352
Consumer Services,ROYAL CARIBBEAN CRUISES LTD,0.434,0.367,0.436,0.545,0.517,0.515,0.479,0.369,0.404,0.38,0.426,0.462,0.465,0.429,0.428,0.402
Consumer Services,SANTA FE FINANCIAL CORP,0.157,0.198,0.311,0.236,0.149,0.469,0.45,0.299,0.436,0.678,0.724,0.812,0.888,0.777,0.796,0.764
Consumer Services,SCIENTIFIC GAMES CORP,1.015,0.949,0.686,0.731,0.535,0.553,0.559,0.495,0.521,0.513,0.577,0.597,0.649,0.643,0.671,0.753
Consumer Services,SERVICE CORP INTERNATIONAL,0.293,0.28,0.258,0.221,0.187,0.22,0.153,0.16,0.201,0.211,0.231,0.215,0.204,0.204,0.203,0.256
Consumer Services,SERVICEMASTER CO,0.387,0.457,0.458,0.31,0.245,0.277,0.256,0.217,0.221,0.544,0.569,0.556,0.556,0.542,0.618,0.669
Consumer Services,SIX FLAGS ENTERTAINMENT CORP,0.509,0.53,0.554,0.529,0.545,0.575,0.624,0.642,0.703,0.767,0.781,0.391,0.355,0.361,0.46,0.537
Consumer Services,SONIC CORP,0.3,0.313,0.328,0.343,0.302,0.345,0.237,0.175,0.249,0.989,0.953,0.87,0.852,0.781,0.754,0.718
Consumer Services,SOTHEBY'S,0.003,0.093,0.2,0.265,0.228,0.324,0.222,0.289,0.183,0.132,0.294,0.323,0.217,0.194,0.27,0.179
Consumer Services,SPEEDWAY MOTORSPORTS INC,0.506,0.465,0.417,0.377,0.312,0.286,0.305,0.284,0.27,0.271,0.337,0.341,0.322,0.301,0.278,0.261
Consumer Services,STARBUCKS CORP,0.034,0.057,0.043,0.037,0.035,0.002,0.001,0.081,0.16,0.237,0.223,0.099,0.086,0.075,0.067,0.113
Consumer Services,STARWOOD HOTELSandRESORTS WRLD,0.547,0.436,0.438,0.446,0.434,0.389,0.361,0.333,0.284,0.374,0.413,0.338,0.343,0.285,0.204,0.185
Consumer Services,TRANS WORLD CORP/NV,0.919,1.15,1.358,1.933,1.304,0.289,0.192,0.177,0.132,0.169,0.198,0.198,0.16,0.132,0.067,0.006
Consumer Services,VAIL RESORTS INC,0.311,0.366,0.35,0.327,0.416,0.401,0.408,0.342,0.315,0.311,0.289,0.261,0.274,0.253,0.255,0.35
Consumer Services,WENDY'S CO,0.695,0.795,0.289,0.361,0.4,0.498,0.468,0.514,0.464,0.508,0.239,0.306,0.332,0.316,0.339,0.336
Consumer Services,YUM BRANDS INC,0.78,0.633,0.599,0.512,0.453,0.368,0.306,0.326,0.358,0.444,0.55,0.457,0.431,0.375,0.326,0.344